#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Oct 07 14:41:19 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scrod_top_A3_map.ncd
#OUTPUT FILE:      scrod_top_A3_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB13,FIBER_0_LINK_ERR,IOB,IO_L36P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB14,mgtmod1<1>,IOB,IO_L30P_GCLK1_D13_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB15,WR2_ENA<0>,IOB,IO_L28N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB16,,,GND,,,,,,,,,,,,
AB17,SSTIN_P<1>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB18,,,VCCAUX,,,,,,,,2.5,,,,
AB19,BUSB_SR_CLEAR,IOB,IO_L18N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB20,,,GND,,,,,,,,,,,,
AB21,BUSB_RD_COLSEL_S<0>,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB22,USB_RDY1,IOB,IO_L5P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB23,,,VCCO_1,,,1,,,,,2.50,,,,
AB24,BUSA_DO<8>,IOB,IO_L49P_M1DQ10_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AB25,,,GND,,,,,,,,,,,,
AB26,BUSB_DO<8>,IOB,IO_L49N_M1DQ11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AC1,WR1_ENA<1>,IOB,IO_L34N_M3UDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AC2,BUSB_RD_COLSEL_S<1>,IOB,IO_L34P_M3UDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AC3,TDC_CS_DAC<2>,IOB,IO_L8N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AC4,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
AC5,PCLK<0>,IOB,IO_L61P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AC6,BUSB_CLR,IOB,IO_L53N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AC7,,,VCCAUX,,,,,,,,2.5,,,,
AC8,FIBER_0_RXP,IPAD,MGTRXP0_245,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AC9,,,MGTAVTTRX_245,,,,,,,,,,,,
AC10,FIBER_1_RXP,IPAD,MGTRXP1_245,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AC11,,,GND,,,,,,,,,,,,
AC12,,IPAD,MGTREFCLK1P_245,UNUSED,,,,,,,,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,FIBER_1_LINK_UP,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AC15,,,GND,,,,,,,,,,,,
AC16,,IPAD,MGTREFCLK0P_267,UNUSED,,,,,,,,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,IPAD,MGTRXP0_267,UNUSED,,,,,,,,,,,
AC19,,,MGTAVTTRX_267,,,,,,,,,,,,
AC20,,IPAD,MGTRXP1_267,UNUSED,,,,,,,,,,,
AC21,,,VCCAUX,,,,,,,,2.5,,,,
AC22,EX_TRIGGER1,IOB,IO_L5N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AC23,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
AC24,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
AC25,TDC_MON_TIMING<9>,IOB,IO_L50P_M1UDQS_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AC26,BUSB_DO<9>,IOB,IO_L50N_M1UDQSN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AD1,WL_CLK_N<1>,IOB,IO_L33N_M3DQ13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,YES,NONE,
AD2,,,VCCO_3,,,3,,,,,2.50,,,,
AD3,WR2_ENA<1>,IOB,IO_L33P_M3DQ12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AD4,SR_CLOCK<0>,IOB,IO_L63P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD5,LEDS<0>,IOB,IO_L61N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD6,BUSB_SAMPLESEL_S<0>,IOB,IO_L49P_D3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD7,,,GND,,,,,,,,,,,,
AD8,FIBER_0_RXN,IPAD,MGTRXN0_245,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AD9,,,GND,,,,,,,,,,,,
AD10,FIBER_1_RXN,IPAD,MGTRXN1_245,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AD11,,,MGTAVCC_245,,,,,,,,,,,,
AD12,,IPAD,MGTREFCLK1N_245,UNUSED,,,,,,,,,,,
AD13,,,MGTAVCCPLL1_245,,,,,,,,,,,,
AD14,USB_PA0,IOB,IO_L32P_GCLK29_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD15,,,MGTAVCCPLL0_267,,,,,,,,,,,,
AD16,,IPAD,MGTREFCLK0N_267,UNUSED,,,,,,,,,,,
AD17,,,MGTAVCC_267,,,,,,,,,,,,
AD18,,IPAD,MGTRXN0_267,UNUSED,,,,,,,,,,,
AD19,,,GND,,,,,,,,,,,,
AD20,,IPAD,MGTRXN1_267,UNUSED,,,,,,,,,,,
AD21,,,GND,,,,,,,,,,,,
AD22,WL_CLK_P<0>,IOB,IO_L13P_M1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,YES,NONE,
AD23,USB_PA5,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD24,TDC_MON_TIMING<8>,IOB,IO_L48P_HDC_M1DQ8_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AD25,,,VCCO_1,,,1,,,,,2.50,,,,
AD26,SHOUT<8>,IOB,IO_L48N_M1DQ9_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AE1,SCLK<2>,IOB,IO_L35N_M3DQ11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AE2,LEDS<2>,IOB,IO_L35P_M3DQ10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AE3,RAM2_WE,IOB,IO_L65P_INIT_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE4,,,VCCO_2,,,2,,,,,2.50,,,,
AE5,RJ45_RSV_P,IOB,IO_L51P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE6,,,GND,,,,,,,,,,,,
AE7,FIBER_0_TXP,OPAD,MGTTXP0_245,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AE8,,,GND,,,,,,,,,,,,
AE9,FIBER_1_TXP,OPAD,MGTTXP1_245,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AE10,,,GND,,,,,,,,,,,,
AE11,FIBER_REFCLKP,IPAD,MGTREFCLK0P_245,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AE12,,,MGTAVCCPLL0_245,,,,,,,,,,,,
AE13,mgtmod1<2>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE14,,,VCCO_2,,,2,,,,,2.50,,,,
AE15,mgttxdis<1>,IOB,IO_L29P_GCLK3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE16,,,MGTAVCCPLL1_267,,,,,,,,,,,,
AE17,,IPAD,MGTREFCLK1P_267,UNUSED,,,,,,,,,,,
AE18,,,GND,,,,,,,,,,,,
AE19,,OPAD,MGTTXP0_267,UNUSED,,,,,,,,,,,
AE20,,,GND,,,,,,,,,,,,
AE21,,OPAD,MGTTXP1_267,UNUSED,,,,,,,,,,,
AE22,,,GND,,,,,,,,,,,,
AE23,,,VCCO_2,,,2,,,,,2.50,,,,
AE24,BOARD_CLOCKP,IOB,IO_L1P_CCLK_2,INPUT,LVDS_25,2,,,,NONE,,UNLOCATED,NO,NONE,
AE25,BUSA_DO<10>,IOB,IO_L52P_M1DQ14_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AE26,BUSB_DO<10>,IOB,IO_L52N_M1DQ15_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AF1,,,GND,,,,,,,,,,,,
AF2,,,PROGRAM_B_2,,,,,,,,,,,,
AF3,SCLK<0>,IOB,IO_L65N_CSO_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF4,BUSB_DIN_DAC,IOB,IO_L63N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF5,BUSA_CLR,IOB,IO_L51N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF6,SAMPLESEL_ANY<0>,IOB,IO_L49N_D4_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF7,FIBER_0_TXN,OPAD,MGTTXN0_245,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF8,,,MGTAVTTTX_245,,,,,,,,,,,,
AF9,FIBER_1_TXN,OPAD,MGTTXN1_245,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF10,,,GND,,,,,,,,,,,,
AF11,FIBER_REFCLKN,IPAD,MGTREFCLK0N_245,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AF12,,,GND,,,,,,,,,,,,
AF13,mgtmod2<2>,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF14,USB_PA1,IOB,IO_L32N_GCLK28_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF15,mgttxdis<2>,IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF16,,,GND,,,,,,,,,,,,
AF17,,IPAD,MGTREFCLK1N_267,UNUSED,,,,,,,,,,,
AF18,,,GND,,,,,,,,,,,,
AF19,,OPAD,MGTTXN0_267,UNUSED,,,,,,,,,,,
AF20,,,MGTAVTTTX_267,,,,,,,,,,,,
AF21,,OPAD,MGTTXN1_267,UNUSED,,,,,,,,,,,
AF22,EX_TRIGGER2,IOB,IO_L13N_D10_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF23,USB_PA6,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF24,BOARD_CLOCKN,IOB,IO_L1N_M0_CMPMISO_2,,LVDS_25,2,,,,,,,NO,,
AF25,,,DONE_2,,,,,,,,,,,,
AF26,,,GND,,,,,,,,,,,,
B1,BUSB_RD_COLSEL_S<3>,IOB,IO_L75N_M4BA1_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
B2,BUSA_RD_COLSEL_S<3>,IOB,IO_L75P_M4BA0_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
B3,TDC_MON_TIMING<2>,IOB,IO_L4N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B4,TDC6_TRG<1>,IOB,IO_L22P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B5,TDC6_TRG<3>,IOB,IO_L24P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B6,,OPAD,MGTTXP0_101,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,OPAD,MGTTXP1_101,UNUSED,,,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,IPAD,MGTREFCLK0P_101,UNUSED,,,,,,,,,,,
B11,,,MGTAVCCPLL0_101,,,,,,,,,,,,
B12,TDC4_TRG<3>,IOB,IO_L36P_GCLK15_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B13,,,VCCO_0,,,0,,,,,2.50,,,,
B14,TDC7_TRG<0>,IOB,IO_L37P_GCLK13_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B15,,,MGTAVCCPLL1_123,,,,,,,,,,,,
B16,,IPAD,MGTREFCLK1P_123,UNUSED,,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,mgttxp,OPAD,MGTTXP0_123,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B19,,,GND,,,,,,,,,,,,
B20,,OPAD,MGTTXP1_123,UNUSED,,,,,,,,,,,
B21,mgttxfault<2>,IOB,IO_L59N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B22,mgtlos<2>,IOB,IO_L63P_SCP7_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B23,USB_CTL2,IOB,IO_L65P_SCP3_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B24,WR1_ENA<8>,IOB,IO_L2P_M5A13_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
B25,SCLK<9>,IOB,IO_L11P_M5CLK_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
B26,SSTIN_P<6>,IOB,IO_L11N_M5CLKN_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
C1,BUSB_RD_COLSEL_S<4>,IOB,IO_L79N_M4A9_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,BUSA_RD_COLSEL_S<4>,IOB,IO_L79P_M4A8_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
C3,TDC6_TRG<2>,IOB,IO_L4P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C4,,,VCCO_0,,,0,,,,,2.50,,,,
C5,TDC7_TRG<1>,IOB,IO_L16N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C6,,,GND,,,,,,,,,,,,
C7,,IPAD,MGTRXN0_101,UNUSED,,,,,,,,,,,
C8,,,GND,,,,,,,,,,,,
C9,,IPAD,MGTRXN1_101,UNUSED,,,,,,,,,,,
C10,,,MGTAVCC_101,,,,,,,,,,,,
C11,,IPAD,MGTREFCLK1N_101,UNUSED,,,,,,,,,,,
C12,,,MGTAVCCPLL1_101,,,,,,,,,,,,
C13,BUSA_DO<3>,IOB,IO_L35P_GCLK17_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C14,,,MGTAVCCPLL0_123,,,,,,,,,,,,
C15,,IPAD,MGTREFCLK0N_123,UNUSED,,,,,,,,,,,
C16,,,MGTAVCC_123,,,,,,,,,,,,
C17,mgtrxn,IPAD,MGTRXN0_123,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
C18,,,GND,,,,,,,,,,,,
C19,,IPAD,MGTRXN1_123,UNUSED,,,,,,,,,,,
C20,,,GND,,,,,,,,,,,,
C21,mgttxfault<1>,IOB,IO_L59P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C22,,,VCCO_0,,,0,,,,,2.50,,,,
C23,,,TDI,,,,,,,,,,,,
C24,WL_CLK_P<9>,IOB,IO_L4N_M5A12_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,YES,NONE,
C25,WL_CLK_P<7>,IOB,IO_L10P_M5A0_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,YES,NONE,
C26,WL_CLK_N<6>,IOB,IO_L10N_M5A1_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,YES,NONE,
D1,WL_CLK_P<5>,IOB,IO_L68N_M4DQ5_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,YES,NONE,
D2,,,VCCO_4,,,4,,,,,2.50,,,,
D3,SCLK<6>,IOB,IO_L68P_M4DQ4_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,,,GND,,,,,,,,,,,,
D5,TDC8_TRG<1>,IOB,IO_L16P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,VCCAUX,,,,,,,,2.5,,,,
D7,,IPAD,MGTRXP0_101,UNUSED,,,,,,,,,,,
D8,,,MGTAVTTRX_101,,,,,,,,,,,,
D9,,IPAD,MGTRXP1_101,UNUSED,,,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,,IPAD,MGTREFCLK1P_101,UNUSED,,,,,,,,,,,
D12,,,GND,,,,,,,,,,,,
D13,TDC8_TRG<2>,IOB,IO_L34N_GCLK18_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D14,,,GND,,,,,,,,,,,,
D15,,IPAD,MGTREFCLK0P_123,UNUSED,,,,,,,,,,,
D16,,,GND,,,,,,,,,,,,
D17,mgtrxp,IPAD,MGTRXP0_123,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
D18,,,MGTAVTTRX_123,,,,,,,,,,,,
D19,,IPAD,MGTRXP1_123,UNUSED,,,,,,,,,,,
D20,,,VCCAUX,,,,,,,,2.5,,,,
D21,TDC_MON_TIMING<0>,IOB,IO_L66P_SCP1_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D22,TDC9_TRG_16,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D23,SSTIN_N<8>,IOB,IO_L4P_M5CKE_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
D24,LEDS<10>,IOB,IO_L17P_M5DQ6_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
D25,,,VCCO_5,,,5,,,,,2.50,,,,
