#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Nov 28 14:17:12 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scrod_top_A4_map.ncd
#OUTPUT FILE:      scrod_top_A4_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AC13,,,GND,,,,,,,,,,,,
AC14,RJ45_TRG_N,IOB,IO_L30N_GCLK0_USERCCLK_2,,LVDS_25,2,,,,,,LOCATED,NO,DIFF_TERM,
AC15,,,GND,,,,,,,,,,,,
AC16,,IPAD,MGTREFCLK0P_267,UNUSED,,,,,,,,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,IPAD,MGTRXP0_267,UNUSED,,,,,,,,,,,
AC19,,,MGTAVTTRX_267,,,,,,,,,,,,
AC20,,IPAD,MGTRXP1_267,UNUSED,,,,,,,,,,,
AC21,,,VCCAUX,,,,,,,,2.5,,,,
AC22,WL_CLK_N<5>,IOBS,IO_L5N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AC23,PCLK<6>,IOB,IO_L74P_AWAKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AC24,SIN<9>,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AC25,SIN<7>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AC26,SCLK<7>,IOB,IO_L50N_M1UDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
AD1,BUSA_RD_ROWSEL_S<0>,IOB,IO_L33N_M3DQ13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AD2,,,VCCO_3,,,3,,,,,2.50,,,,
AD3,BUSA_DO<11>,IOB,IO_L33P_M3DQ12_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AD4,SSTIN_P<1>,IOBM,IO_L63P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AD5,WL_CLK_N<1>,IOBS,IO_L61N_VREF_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AD6,SSTIN_P<2>,IOBM,IO_L49P_D3_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AD7,,,GND,,,,,,,,,,,,
AD8,,IPAD,MGTRXN0_245,UNUSED,,,,,,,,,,,
AD9,,,GND,,,,,,,,,,,,
AD10,,IPAD,MGTRXN1_245,UNUSED,,,,,,,,,,,
AD11,,,MGTAVCC_245,,,,,,,,,,,,
AD12,,IPAD,MGTREFCLK1N_245,UNUSED,,,,,,,,,,,
AD13,,,MGTAVCCPLL1_245,,,,,,,,,,,,
AD14,RJ45_ACK_P,IOBM,IO_L32P_GCLK29_2,TRISTATE,LVDS_25,2,,,,,,LOCATED,YES,NONE,
AD15,,,MGTAVCCPLL0_267,,,,,,,,,,,,
AD16,,IPAD,MGTREFCLK0N_267,UNUSED,,,,,,,,,,,
AD17,,,MGTAVCC_267,,,,,,,,,,,,
AD18,,IPAD,MGTRXN0_267,UNUSED,,,,,,,,,,,
AD19,,,GND,,,,,,,,,,,,
AD20,,IPAD,MGTRXN1_267,UNUSED,,,,,,,,,,,
AD21,,,GND,,,,,,,,,,,,
AD22,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
AD23,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
AD24,TDC_DONE<7>,IOB,IO_L48P_HDC_M1DQ8_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
AD25,,,VCCO_1,,,1,,,,,2.50,,,,
AD26,TDC8_TRG<0>,IOB,IO_L48N_M1DQ9_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
AE1,BUSA_RD_ROWSEL_S<1>,IOB,IO_L35N_M3DQ11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AE2,BUSA_RD_ROWSEL_S<2>,IOB,IO_L35P_M3DQ10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AE3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
AE4,,,VCCO_2,,,2,,,,,2.50,,,,
AE5,WL_CLK_P<0>,IOBM,IO_L51P_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
AE6,,,GND,,,,,,,,,,,,
AE7,,OPAD,MGTTXP0_245,UNUSED,,,,,,,,,,,
AE8,,,GND,,,,,,,,,,,,
AE9,,OPAD,MGTTXP1_245,UNUSED,,,,,,,,,,,
AE10,,,GND,,,,,,,,,,,,
AE11,,IPAD,MGTREFCLK0P_245,UNUSED,,,,,,,,,,,
AE12,,,MGTAVCCPLL0_245,,,,,,,,,,,,
AE13,RJ45_CLK_P,IOB,IO_L31P_GCLK31_D14_2,INPUT,LVDS_25,2,,,,NONE,,LOCATED,NO,DIFF_TERM,
AE14,,,VCCO_2,,,2,,,,,2.50,,,,
AE15,RJ45_RSV_P,IOB,IO_L29P_GCLK3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AE16,,,MGTAVCCPLL1_267,,,,,,,,,,,,
AE17,,IPAD,MGTREFCLK1P_267,UNUSED,,,,,,,,,,,
AE18,,,GND,,,,,,,,,,,,
AE19,,OPAD,MGTTXP0_267,UNUSED,,,,,,,,,,,
AE20,,,GND,,,,,,,,,,,,
AE21,,OPAD,MGTTXP1_267,UNUSED,,,,,,,,,,,
AE22,,,GND,,,,,,,,,,,,
AE23,,,VCCO_2,,,2,,,,,2.50,,,,
AE24,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
AE25,TDC_MON_TIMING<7>,IOB,IO_L52P_M1DQ14_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
AE26,TDC8_TRG<1>,IOB,IO_L52N_M1DQ15_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
AF1,,,GND,,,,,,,,,,,,
AF2,,,PROGRAM_B_2,,,,,,,,,,,,
AF3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
AF4,SSTIN_N<1>,IOBS,IO_L63N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AF5,WL_CLK_N<0>,IOBS,IO_L51N_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AF6,SSTIN_N<2>,IOBS,IO_L49N_D4_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AF7,,OPAD,MGTTXN0_245,UNUSED,,,,,,,,,,,
AF8,,,MGTAVTTTX_245,,,,,,,,,,,,
AF9,,OPAD,MGTTXN1_245,UNUSED,,,,,,,,,,,
AF10,,,GND,,,,,,,,,,,,
AF11,,IPAD,MGTREFCLK0N_245,UNUSED,,,,,,,,,,,
AF12,,,GND,,,,,,,,,,,,
AF13,RJ45_CLK_N,IOB,IO_L31N_GCLK30_D15_2,,LVDS_25,2,,,,,,LOCATED,NO,DIFF_TERM,
AF14,RJ45_ACK_N,IOBS,IO_L32N_GCLK28_2,,LVDS_25,2,,,,,,LOCATED,NO,,
AF15,RJ45_RSV_N,IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AF16,,,GND,,,,,,,,,,,,
AF17,,IPAD,MGTREFCLK1N_267,UNUSED,,,,,,,,,,,
AF18,,,GND,,,,,,,,,,,,
AF19,,OPAD,MGTTXN0_267,UNUSED,,,,,,,,,,,
AF20,,,MGTAVTTTX_267,,,,,,,,,,,,
AF21,,OPAD,MGTTXN1_267,UNUSED,,,,,,,,,,,
AF22,TDC7_TRG<3>,IOB,IO_L13N_D10_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
AF23,SIN<5>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AF24,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
AF25,,,DONE_2,,,,,,,,,,,,
AF26,,,GND,,,,,,,,,,,,
B1,LEDS<5>,IOB,IO_L75N_M4BA1_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
B2,TDC2_TRG<0>,IOB,IO_L75P_M4BA0_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
B3,USB_PA6,IOB,IO_L4N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
B4,USB_PA4,IOB,IO_L22P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
B5,mgtlos<1>,IOB,IO_L24P_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
B6,mgttxp,OPAD,MGTTXP0_101,OUTPUT,,,,,,,,LOCATED,NO,NONE,
B7,,,GND,,,,,,,,,,,,
B8,,OPAD,MGTTXP1_101,UNUSED,,,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,mgtclk0p,IPAD,MGTREFCLK0P_101,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
B11,,,MGTAVCCPLL0_101,,,,,,,,,,,,
B12,mgtmod1<1>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
B13,,,VCCO_0,,,0,,,,,3.30,,,,
B14,RAM_IO<6>,IOB,IO_L37P_GCLK13_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
B15,,,MGTAVCCPLL1_123,,,,,,,,,,,,
B16,,IPAD,MGTREFCLK1P_123,UNUSED,,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,OPAD,MGTTXP0_123,UNUSED,,,,,,,,,,,
B19,,,GND,,,,,,,,,,,,
B20,,OPAD,MGTTXP1_123,UNUSED,,,,,,,,,,,
B21,RAM_A<7>,IOB,IO_L59N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
B22,RAM_A<3>,IOB,IO_L63P_SCP7_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
B23,RAM_A<1>,IOB,IO_L65P_SCP3_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
B24,BUSB_CLR,IOB,IO_L2P_M5A13_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
B25,BUSB_DO<1>,IOB,IO_L11P_M5CLK_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
B26,BUSB_DO<2>,IOB,IO_L11N_M5CLKN_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
C1,LEDS<3>,IOB,IO_L79N_M4A9_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
C2,LEDS<4>,IOB,IO_L79P_M4A8_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
C3,USB_PA5,IOB,IO_L4P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
C4,,,VCCO_0,,,0,,,,,3.30,,,,
C5,mgtmod0<1>,IOB,IO_L16N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
C6,,,GND,,,,,,,,,,,,
C7,mgtrxn,IPAD,MGTRXN0_101,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,,IPAD,MGTRXN1_101,UNUSED,,,,,,,,,,,
C10,,,MGTAVCC_101,,,,,,,,,,,,
C11,mgtclk1n,IPAD,MGTREFCLK1N_101,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
C12,,,MGTAVCCPLL1_101,,,,,,,,,,,,
C13,USB_IFCLK,IOB,IO_L35P_GCLK17_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
C14,,,MGTAVCCPLL0_123,,,,,,,,,,,,
C15,,IPAD,MGTREFCLK0N_123,UNUSED,,,,,,,,,,,
C16,,,MGTAVCC_123,,,,,,,,,,,,
C17,,IPAD,MGTRXN0_123,UNUSED,,,,,,,,,,,
C18,,,GND,,,,,,,,,,,,
C19,,IPAD,MGTRXN1_123,UNUSED,,,,,,,,,,,
C20,,,GND,,,,,,,,,,,,
C21,RAM_A<6>,IOB,IO_L59P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
C22,,,VCCO_0,,,0,,,,,3.30,,,,
C23,,,TDI,,,,,,,,,,,,
C24,TDC_DONE<9>,IOB,IO_L4N_M5A12_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
C25,BUSB_DO<3>,IOB,IO_L10P_M5A0_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
C26,BUSB_DO<4>,IOB,IO_L10N_M5A1_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
D1,LEDS<2>,IOB,IO_L68N_M4DQ5_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
D2,,,VCCO_4,,,4,,,,,2.50,,,,
D3,TDC1_TRG<2>,IOB,IO_L68P_M4DQ4_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
D4,,,GND,,,,,,,,,,,,
D5,LEDS<12>,IOB,IO_L16P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
D6,,,VCCAUX,,,,,,,,2.5,,,,
D7,mgtrxp,IPAD,MGTRXP0_101,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
D8,,,MGTAVTTRX_101,,,,,,,,,,,,
D9,,IPAD,MGTRXP1_101,UNUSED,,,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,mgtclk1p,IPAD,MGTREFCLK1P_101,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
D12,,,GND,,,,,,,,,,,,
D13,USB_FDD<6>,IOB,IO_L34N_GCLK18_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
D14,,,GND,,,,,,,,,,,,
D15,,IPAD,MGTREFCLK0P_123,UNUSED,,,,,,,,,,,
D16,,,GND,,,,,,,,,,,,
D17,,IPAD,MGTRXP0_123,UNUSED,,,,,,,,,,,
D18,,,MGTAVTTRX_123,,,,,,,,,,,,
D19,,IPAD,MGTRXP1_123,UNUSED,,,,,,,,,,,
D20,,,VCCAUX,,,,,,,,2.5,,,,
D21,RAM_A<5>,IOB,IO_L66P_SCP1_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
D22,EX_TRIGGER_SCROD,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
D23,BUSB_RD_ROWSEL_S<2>,IOB,IO_L4P_M5CKE_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
D24,BUSB_RD_ENA,IOB,IO_L17P_M5DQ6_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
D25,,,VCCO_5,,,5,,,,,2.50,,,,
D26,BUSB_DO<5>,IOB,IO_L17N_M5DQ7_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
E1,LEDS<0>,IOB,IO_L67N_M4DQ7_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
E2,LEDS<1>,IOB,IO_L67P_M4DQ6_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
E3,TDC2_TRG<2>,IOB,IO_L81N_M4A11_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
E4,WR1_ENA<1>,IOB,IO_L81P_M4RESET_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
E5,USB_PA3,IOB,IO_L8N_VREF_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
E6,USB_PA2,IOB,IO_L8P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
E7,,,GND,,,,,,,,,,,,
E8,mgttxdis<1>,IOB,IO_L15N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
E9,,,MGTRREF_101,,,,,,,,,,,,
E10,USB_CTL0,IOB,IO_L23N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
E11,,,MGTAVTTRCAL_101,,,,,,,,,,,,
E12,USB_FDD<9>,IOB,IO_L31N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
